name,category,location,unit,pack_size,par_level,tracking_mode,preferred_shop,snackbox_ok,kid_ok,source,aliases,snack_component
Rice,pantry,pantry,kg,2,2,level,Spar,false,true,bought,basmati|Spekko,
Couscous,pantry,pantry,bag,1,0,level,Woolworths,false,true,bought,,
Tinned tomatoes,pantry,pantry,tin,1,4,count,Spar,false,true,bought,chopped tomatoes|tomato tins,
Tinned beans,pantry,pantry,tin,1,3,count,Spar,false,true,bought,baked beans|butter beans,
Tinned tuna,pantry,pantry,tin,1,3,count,Spar,true,true,bought,tuna,protein
Chickpeas,pantry,pantry,tin,1,2,count,Spar,false,true,bought,,
Chakalaka,pantry,pantry,tin,1,1,count,Spar,false,true,bought,,
Peri-peri sauce,pantry,pantry,bottle,1,1,count,Spar,false,false,bought,Nando's|peri peri,
Garam masala,pantry,pantry,pack,1,1,level,Spar,false,true,bought,masala,
Chicken tikka spice,pantry,pantry,piece,1,1,level,Spar,false,true,bought,tikka,
Cinnamon,pantry,pantry,piece,1,1,level,Woolworths,false,true,bought,,
Braai spice / salt,pantry,pantry,piece,1,1,level,Spar,false,true,bought,spice|braai salt,
Table salt,pantry,pantry,kg,1,1,level,Spar,false,true,bought,salt|Cerebos,
Black pepper,pantry,pantry,piece,1,1,level,Spar,false,true,bought,pepper,
Otees cereal,pantry,pantry,box,1,1,count,Spar,true,true,bought,Otees|Bokomo Otees,carb
Corn flakes,pantry,pantry,box,1,1,count,Spar,false,true,bought,cornflakes,
All Bran flakes,pantry,pantry,box,1,1,count,Spar,false,true,bought,All Bran,
Weet-Bix,pantry,pantry,box,1,1,count,Spar,false,true,bought,Weetbix,
Granola,pantry,pantry,bag,1,1,count,Woolworths,false,true,bought,muesli,
Oats,pantry,pantry,kg,1,1,level,Spar,false,true,bought,porridge oats,
Rusks,pantry,pantry,box,1,1,count,Spar,true,true,bought,Ouma rusks|beskuit,carb
Crackers,pantry,pantry,box,1,1,count,Spar,true,true,bought,Provita|Salticrax,carb
Rice cakes,pantry,pantry,pack,1,1,count,Woolworths,true,true,bought,,carb
Raisins,pantry,pantry,box,1,1,count,Spar,true,true,bought,,treat
Mixed nuts,pantry,pantry,pack,1,1,level,Woolworths,false,false,bought,nuts|peanuts,
Peanut butter,pantry,pantry,piece,1,1,level,Spar,false,true,bought,,
Honey,pantry,pantry,piece,1,1,level,,false,true,farm,,
Jam,pantry,pantry,piece,1,1,level,Spar,true,true,bought,,treat
Rooibos tea,drinks,pantry,box,1,1,count,Spar,false,true,bought,Freshpak|rooibos,
Ceylon tea,drinks,pantry,box,1,1,count,Spar,false,true,bought,Five Roses|tea,
Ground coffee,drinks,pantry,bag,1,1,count,Woolworths,false,false,bought,coffee|filter coffee,
Instant coffee,drinks,pantry,piece,1,1,level,Spar,false,false,bought,Ricoffy|Nescafe,
Sugar,pantry,pantry,kg,2.5,1,level,Spar,false,true,bought,white sugar,
Cake flour,pantry,pantry,kg,2.5,1,level,Spar,false,true,bought,flour|Snowflake,
Self-raising flour,pantry,pantry,kg,1,1,level,Spar,false,true,bought,,
Baking powder,pantry,pantry,piece,1,1,level,Spar,false,true,bought,Royal baking powder,
Cupcake cases,pantry,pantry,pack,1,1,level,Spar,false,true,bought,,
Cocoa,pantry,pantry,piece,1,1,level,Spar,false,true,bought,,
Dog food tins,pet & farm,pantry,tin,1,6,count,Spar,false,false,bought,Husky|dog food,
Dry dog food,pet & farm,store room,kg,8,4,level,Checkers,false,false,bought,dog pellets|kibble,
Drinking water 15.9L,utilities,store room,bottle,1,1,count,Spar,false,true,bought,water|BWT water|big water,
Drinking water 5L,utilities,store room,bottle,1,2,count,Woolworths,false,true,bought,5L water|spring water,
Coca-Cola 2L,drinks,drinks fridge,bottle,1,2,count,Checkers,false,false,bought,coke|Coca Cola,
Powerade,drinks,drinks fridge,bottle,1,3,count,Checkers,false,false,bought,energy drink|sports drink,
Grape juice,drinks,drinks fridge,litre,1,1,count,Woolworths,false,true,bought,red grape juice,
Beer,drinks,drinks fridge,piece,6,6,count,Checkers,false,false,bought,Castle Lite|Heineken|lager,
Wine,drinks,drinks fridge,bottle,1,2,count,Checkers,false,false,bought,red wine|white wine,
Cider,drinks,drinks fridge,piece,6,0,count,Checkers,false,false,bought,Savanna|Hunters,
Pringles / crisps,pantry,drinks fridge,piece,1,1,count,Checkers,false,true,bought,chips|crisps|Simba,
Dishwashing liquid,cleaning & laundry,under sink,bottle,1,1,level,Checkers,false,false,bought,Sunlight liquid|dish soap,
Washing powder,cleaning & laundry,under sink,kg,2,1,level,Checkers,false,false,bought,Sunlight powder|laundry powder|washing liquid,
Fabric softener,cleaning & laundry,laundry,litre,2,1,level,Checkers,false,false,bought,Sta-soft|softener,
Thick bleach,cleaning & laundry,under sink,bottle,1,1,count,Checkers,false,false,bought,Domestos|Jik|bleach|toilet cleaner,
Handy Andy,cleaning & laundry,under sink,bottle,1,1,count,Checkers,false,false,bought,cream cleaner,
Multipurpose cleaner,cleaning & laundry,under sink,bottle,1,1,count,Checkers,false,false,bought,all purpose cleaner|Mr Muscle,
Oven and air fryer cleaner,cleaning & laundry,under sink,piece,1,1,count,Checkers,false,false,bought,oven cleaner,
Floor cleaner / pine gel,cleaning & laundry,under sink,litre,1,1,level,Checkers,false,false,bought,pine gel|floor wash,
Hand soap refill,bathroom,under sink,litre,0.75,1,count,Checkers,false,true,bought,handwash,
Scourers and sponges,cleaning & laundry,under sink,pack,1,1,count,Spar,false,false,bought,scourer|sponge,
Cleaning cloths,cleaning & laundry,under sink,pack,1,1,count,Spar,false,false,bought,cloths,
Refuse bags,cleaning & laundry,under sink,piece,20,20,count,Checkers,false,false,bought,bin bags|black bags,
Toilet paper,bathroom,bathroom,roll,18,12,count,Checkers,false,true,bought,loo roll|toilet rolls,
Paper towel,cleaning & laundry,pantry,roll,2,2,count,Checkers,false,true,bought,kitchen roll,
Nappies,baby & child,bathroom,piece,44,20,count,Checkers,false,true,bought,diapers|Pampers|Huggies,
Wet wipes,baby & child,bathroom,pack,1,2,count,Checkers,false,true,bought,wipes,
Toothpaste,bathroom,bathroom,piece,1,1,count,Checkers,false,true,bought,,
Shampoo,bathroom,bathroom,bottle,1,1,level,Checkers,false,true,bought,,
Body wash / soap,bathroom,bathroom,piece,1,2,count,Checkers,false,true,bought,soap,
Pool chlorine,pool & garden,pool shed,kg,5,0,cycle,Checkers,false,false,bought,chlorine|HTH|pool chlorine granules,
Pool acid,pool & garden,pool shed,litre,5,0,cycle,Checkers,false,false,bought,HCl|pool acid,
Gas bottle,utilities,garage,piece,1,1,cycle,Other,false,false,bought,LPG|gas|9kg gas,
Cabbage,fresh,fridge,piece,1,0,count,Everfresh,false,true,bought,sweet cabbage,
Gravy powder,pantry,pantry,piece,1,1,level,Spar,false,true,bought,gravy|Bisto,
Pork sausages,fresh,freezer,kg,0.5,0.5,count,Checkers,false,true,bought,bangers|sausages,
Strawberries,fresh,fridge,pack,1,0,count,Everfresh,true,true,bought,strawberry,fruit
Naartjies,fresh,fridge,piece,1,4,count,Everfresh,true,true,bought,naartjie|mandarin|orange,fruit
Fruit snacks,pantry,pantry,pack,1,4,count,Checkers,true,true,bought,Oh My Goodness|fruit gums|fruit roll|mango and carrot roll,treat
Mini muffins,frozen,freezer,piece,6,4,count,Woolworths,true,true,bought,muffin|mini cake,treat
Cherry tomatoes,fresh,fridge,pack,1,0,count,Everfresh,true,true,bought,baby tomatoes,veg
Carrots,fresh,fridge,kg,1,0.5,level,Everfresh,true,true,bought,carrot|carrot sticks,veg
Hash browns,frozen,freezer,piece,10,10,count,Checkers,false,true,bought,hash brown|rosti,
